split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
val,OrSa,OrSa,4,8652504,1.921073483467907,2077762,17.306427749829705,499958.982008008,1.7414177445049432,1883453,9.499762735009426,910812.6425213729,1.5988975955008449,8646543,10,0.17965573896296383,110.31663651813983,120.14987631938634
val,DrMe,DrMe,5,6436285,1.9022280558160578,1530410,12.959814882655689,496633.9456448389,1.892991376236447,1522979,8.009468386997469,803584.5438192419,1.8597292245785606,7481093,10,0.00923667957961083,100.4879409222653,102.28521607747105
val,EnIn,EnIn,6,5280617,1.9201036242937612,1267416,10.413339378184288,507101.0180521697,1.7358410958416413,1145789,6.425754181022057,821789.4508936979,1.5667528573458096,5170889,9,0.18426252845212,110.6151726038482,122.55306350910718
val,ScPo,ScPo,7,2130431,1.9530977094284767,520117,4.223156936231032,504463.6115041719,1.9450261472913228,517968,3.7186722819751594,572900.9814407278,1.8917959793112287,2518963,8,0.008071562137153876,100.41498476246164,103.24039858354953
val,WaMe,WaMe,8,1828886,1.9646691643647165,449144,3.5800210498334946,510858.44874712697,1.9493002844354432,445631,1.1518566309823655,1587772.254642687,,,,0.015368879929273271,100.78843060004603,
val,PlFa,PlFa,9,1797342,1.8430282049826912,414069,3.54811246377677,506562.8607743816,1.796426055809078,403599,3.4287919639900792,524191.0325490953,1.7142874946921633,1925726,7,0.04660214917361305,102.59415905391242,107.50986696742171
val,EsCo,EsCo,10,928330,1.9637434573303214,227875,1.862850846300616,498337.80404026597,1.9254273803496602,223429,0.7748405059974175,1198091.727025812,1.893381063466197,1098552,6,0.038316076980661196,101.990003745231,103.71622993499854
val,HaHi,HaHi,11,778001,1.886233786932888,183436,1.6112119548600763,482865.7071797635,1.86373025227474,181248,0.698526533000404,1113774.44269472,1.8567194643708684,902831,5,0.022503534658147917,101.20744590751166,101.58959515039179
val,HePy,HePy,12,333565,1.9316952668753222,80543,0.6741578160996226,494786.22369143926,1.8317988997646635,76378,0.45400103999418207,734722.9865470673,1.801057065339589,375481,4,0.09989636711065875,105.45345709747356,107.2534182314263
val,AeCa,AeCa,13,318209,1.9590266713177271,77922,0.666147455786423,477682.5269479405,1.9191411933666238,76336,0.5047164960124064,630470.7742149527,1.9112673462602345,380115,5,0.03988547795110331,102.07829825595765,102.49883016894223
val,YeMi,YeMi,14,14737,1.8403908794788273,3390,0.05301106907575327,277979.67965788674,1.86795141480627,3441,0.058460233005462214,252085.89227865468,1.8236643189621247,16798,3,-0.027560535327442626,98.52455823481357,100.91719514072754
val,AgPh,AgPh,15,8794,1.9561014443307176,2150,0.04257287704122019,206539.95245579444,1.996816010916534,2195,0.03448306498466991,255023.73422749797,1.94823743461451,10708,2,-0.0407145665858164,97.9610256346488,100.40364739823222
val,BuEb,BuEb,16,3788,1.9926043317485473,943,0.03404968193757138,111190.46594741964,2.061246040126716,976,0.03462424999452196,109403.09178102961,1.9793030623020063,4686,1,-0.06864170837816852,96.66989252898946,100.67201782788489
test,HoSa,HoSa,0,37950534,1.6008512554790402,7594145,78.55972170080385,483078.77342711715,1.7027148023793288,8077367,41.8127558559936,907630.5357796699,1.6377379085796986,38845642,12,-0.10186354690028865,94.01758023375687,97.74770719372016
test,GaGa,GaGa,1,29706460,1.8887835807020958,7013634,59.29844729591692,500965.20827528444,1.8108459910739954,6724228,29.69581701399875,1000358.400174551,1.8246629113531365,33877671,11,0.07793758962810049,104.30393252724251,103.51411041184635
test,AnCa,AnCa,2,28437935,1.8985500809781077,6748855,55.712854011703854,510437.555290668,1.6669967070393825,5925743,10.747870527993655,2645913.4324265644,,,,0.23155337393872522,113.89045179039185,
test,DaRe,DaRe,3,12513004,1.495692121227814,2339450,26.884299821355132,465439.0511617672,1.5032016292810264,2351196,13.154905149014667,951204.4258971532,1.469040559724907,11488819,10,-0.007509508053212377,99.50043241658778,101.81421549775985
test,OrSa,OrSa,4,8652506,1.9182026382189479,2074657,17.375322563873496,497976.59687712236,1.7523237776431475,1895249,9.705336028011516,891520.4970778095,1.5988975955008449,8646543,10,0.16587886057580037,109.46622209275189,119.97032477981071
test,DrMe,DrMe,5,6436287,1.909703529379594,1536425,13.266672799823958,485147.03702388785,1.8960981696434607,1525479,7.856882160005625,819190.9804582575,1.8597292245785606,7481093,10,0.013605359736133416,100.71754511205988,102.68718177574256
test,EnIn,EnIn,6,5280618,1.9213054229637516,1268210,10.695988848116581,493700.7765233268,1.7617650055353369,1162901,6.666002901998581,792171.5723251157,1.5667528573458096,5170889,9,0.15954041742841474,109.05571497487749,122.6297698424868
test,ScPo,ScPo,7,2130431,1.9520838291254954,519847,4.280056938068181,497757.16324035084,1.8645166165907274,496528,3.6828264860087074,578477.1582624495,1.8917959793112287,2518963,8,0.08756721253476796,104.6965101708176,103.18680505052222
test,WaMe,WaMe,8,1828887,1.9657769998911907,449398,3.5772014409050454,511261.95441129105,1.927165538384821,440571,1.094467570015695,1671028.9551784282,,,,0.03861146150636974,102.00353631991213,
test,PlFa,PlFa,9,1797343,1.8401083377565315,413413,3.637509830872528,494113.3037622258,1.8075748479839406,406104,3.465886951016728,518580.9651041112,1.7142874946921633,1925726,7,0.03253348977259085,101.7998419157512,107.33954155612399
test,EsCo,EsCo,10,928331,1.9624077239857851,227720,1.923347589038439,482663.1469479264,1.9015975982704445,220664,0.7765087230072822,1195519.087544486,1.893381063466197,1098552,6,0.06081012571534061,103.19784405337118,103.64568241710528
test,HaHi,HaHi,11,778001,1.9356323080106788,188240,1.6324716871025136,476577.3312619445,1.9030104074416356,185068,0.7271839099994395,1069882.033006753,1.8567194643708684,902831,5,0.03262190056904313,101.71422607262035,104.25012206496953
test,HePy,HePy,12,333565,1.9370195824489453,80765,0.6930202512290292,481319.26795565436,1.8454214321046873,76946,0.4564387240097858,730799.0809141963,1.801057065339589,375481,4,0.091598150344258,104.9635356320638,107.54903993470751
test,AeCa,AeCa,13,318211,1.9420131359793846,77246,0.6838234015585757,465339.441842343,1.9053521091351335,75788,0.5200132830068469,611928.599515813,1.9112673462602345,380115,5,0.0366610268442511,101.9241077105109,101.60865981304552
test,YeMi,YeMi,14,14739,1.8383879503358438,3387,0.055011036049697606,267928.056957237,1.8579279462650111,3423,0.05844123201677576,252202.07533901953,1.8236643189621247,16798,3,-0.01953999592916733,98.94829097283086,100.8073652163189
test,AgPh,AgPh,15,8794,1.9597407028317981,2154,0.044250566999726,198709.31823437303,2.005003411416875,2204,0.034137990995077416,257601.56774509858,1.94823743461451,10708,2,-0.04526270858507697,97.74251214100971,100.59044488176383
test,BuEb,BuEb,16,3788,1.9587955625990492,927,0.03587406201978463,105535.86036373612,2.0527983104540657,972,0.02759316097944975,137280.39360264473,1.9793030623020063,4686,1,-0.0940027478550165,95.42075091467589,98.96390299729512
