split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
train,EsCo,EsCo,10,60000,1.9670666666666667,14753,15.435867547988892,3887.050715709029,1.9035580366327933,662674,1.4766984020243399,1885957.8883421153,1.893381063466197,1098552,6,0.06350863003387341,103.33631172844164,103.89174713016165
train,HaHi,HaHi,11,60000,1.8749333333333333,14062,15.51064183562994,3868.3118748943243,1.850914501823691,540005,1.2214235920109786,1910887.4392685066,1.8567194643708684,902831,5,0.024018831509642347,101.29767374376162,100.9809704326354
train,HePy,HePy,12,60000,1.9258666666666666,14444,15.098896346986294,3973.8003772690226,1.8304398443082057,228964,0.7651449110126123,1307850.298155489,1.801057065339589,375481,4,0.0954268223584609,105.21332742265159,106.9297971579565
train,AeCa,AeCa,13,60000,1.9666666666666666,14750,15.221404112875462,3941.8176900807252,1.9206204714082644,229185,0.738734509999631,1292249.0923031021,1.9112673462602345,380115,5,0.046046195258402145,102.39746456647103,102.89856468875647
train,YeMi,YeMi,14,44213,1.832040350123267,10125,11.142173036932945,3968.0769499313315,1.8318594078664645,10124,0.09144668799126521,483483.8852143353,1.8236643189621247,16798,3,0.00018094225680242992,100.00987751876728,100.45929676169291
train,AgPh,AgPh,15,26382,1.9637631718596011,6476,6.797790132462978,3880.9671210666315,1.9543628231369874,6445,0.045793175988364965,576112.0391977853,1.94823743461451,10708,2,0.00940034872261375,100.48099301784328,100.79691196613123
train,BuEb,BuEb,16,11364,1.9493136219640972,2769,3.002989061176777,3784.2295687706587,1.988736360436466,2825,0.06457295001018792,175987.00381827154,1.9793030623020063,4686,1,-0.03942273847236888,98.01769911504424,98.48484848484848
val,HoSa,HoSa,0,60000,1.3892,10419,14.9513258934021,4013.0220174304086,1.6804646195614696,7971816,43.18720811401727,878744.7639543618,1.6377379085796986,38845642,12,-0.29126461956146965,82.66761369617663,84.82431729291538
val,GaGa,GaGa,1,60000,1.898,14235,15.18233621865511,3951.960958832919,1.8363979980380023,6819110,27.683165279013338,1073087.4775551958,1.8246629113531365,33877671,11,0.06160200196199761,103.35450169450266,104.019212983974
val,AnCa,AnCa,2,60000,1.8989333333333334,14242,14.354938142001629,4179.746328856956,1.6625930117640397,5910089,10.645502664992819,2671356.712306002,,,,0.23634032156929363,114.21516389741903,
val,DaRe,DaRe,3,60000,1.536,11520,15.018457472324371,3995.0840564396485,1.5994867419526118,2501798,13.231865948997438,945671.9141677894,1.469040559724907,11488819,10,-0.06348674195261172,96.03080536478166,104.55803890721927
