window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
99,99000000,100000000,99000000,100000000,1000000,1863681.7703061104,1.8636817703061104,megabyte1,1000000
100,100000000,101000000,100000000,101000000,1000000,1854446.6106057167,1.8544466106057167,megabyte1,1000000
101,101000000,102000000,101000000,102000000,1000000,1847241.1982450485,1.8472411982450485,megabyte1,1000000
102,102000000,103000000,102000000,103000000,1000000,1864054.71676445,1.8640547167644501,megabyte1,1000000
103,103000000,104000000,103000000,104000000,1000000,1855455.284816742,1.855455284816742,megabyte1,1000000
104,104000000,105000000,104000000,105000000,1000000,1863158.6209480762,1.8631586209480762,megabyte1,1000000
105,105000000,106000000,105000000,106000000,1000000,1857818.5887818336,1.8578185887818337,megabyte1,1000000
106,106000000,107000000,106000000,107000000,1000000,1869715.5585501194,1.8697155585501195,megabyte1,1000000
107,107000000,108000000,107000000,108000000,1000000,1860738.6577318907,1.8607386577318907,megabyte1,1000000
108,108000000,109000000,108000000,109000000,1000000,1845713.4590873718,1.8457134590873718,megabyte1,1000000
109,109000000,110000000,109000000,110000000,1000000,1860030.697455883,1.8600306974558831,megabyte1,1000000
110,110000000,111000000,110000000,111000000,1000000,1866542.807808876,1.866542807808876,megabyte1,1000000
111,111000000,112000000,111000000,112000000,1000000,1861353.7072844505,1.8613537072844506,megabyte1,1000000
112,112000000,113000000,112000000,113000000,1000000,1867220.4409544468,1.8672204409544468,megabyte1,1000000
113,113000000,114000000,113000000,114000000,1000000,1864919.9199562073,1.8649199199562072,megabyte1,1000000
114,114000000,115000000,114000000,115000000,1000000,1841505.4497332573,1.8415054497332572,megabyte1,1000000
115,115000000,116000000,115000000,116000000,1000000,1850222.9596037865,1.8502229596037865,megabyte1,1000000
116,116000000,117000000,116000000,117000000,1000000,1842872.7543096542,1.8428727543096541,megabyte1,1000000
117,117000000,118000000,117000000,118000000,1000000,1844456.798392415,1.844456798392415,megabyte1,1000000
118,118000000,119000000,118000000,119000000,1000000,1856052.827703476,1.856052827703476,megabyte1,1000000
119,119000000,120000000,119000000,120000000,1000000,1853649.086725235,1.853649086725235,megabyte1,1000000
120,120000000,121000000,120000000,121000000,1000000,1858674.1727108955,1.8586741727108955,megabyte1,1000000
121,121000000,122000000,121000000,122000000,1000000,1861498.4859509468,1.861498485950947,megabyte1,1000000
122,122000000,123000000,122000000,123000000,1000000,1864934.101584673,1.864934101584673,megabyte1,1000000
123,123000000,124000000,123000000,124000000,1000000,1870107.5197639465,1.8701075197639465,megabyte1,1000000
124,124000000,125000000,124000000,125000000,1000000,1863418.6800854206,1.8634186800854207,megabyte1,1000000
125,125000000,126000000,125000000,126000000,1000000,1855717.7480261326,1.8557177480261327,megabyte1,1000000
126,126000000,127000000,126000000,127000000,1000000,1860766.4151127338,1.8607664151127339,megabyte1,1000000
127,127000000,128000000,127000000,128000000,1000000,1850110.9523954391,1.850110952395439,megabyte1,1000000
128,128000000,129000000,128000000,129000000,1000000,1868410.674894333,1.868410674894333,megabyte1,1000000
129,129000000,130000000,129000000,130000000,1000000,1860076.4053266048,1.8600764053266048,megabyte1,1000000
130,130000000,131000000,130000000,131000000,1000000,1861296.0940577388,1.8612960940577388,megabyte1,1000000
131,131000000,132000000,131000000,132000000,1000000,1861117.4886653423,1.8611174886653423,megabyte1,1000000
132,132000000,133000000,132000000,133000000,1000000,1864638.8371944427,1.8646388371944427,megabyte1,1000000
133,133000000,134000000,133000000,134000000,1000000,1855449.3825016022,1.855449382501602,megabyte1,1000000
134,134000000,135000000,134000000,135000000,1000000,1860844.9635658264,1.8608449635658264,megabyte1,1000000
135,135000000,136000000,135000000,136000000,1000000,1863188.701638937,1.863188701638937,megabyte1,1000000
136,136000000,137000000,136000000,137000000,1000000,1866750.5828573704,1.8667505828573703,megabyte1,1000000
137,137000000,138000000,137000000,138000000,1000000,1864846.2307634354,1.8648462307634353,megabyte1,1000000
138,138000000,139000000,138000000,139000000,1000000,1866686.4456329346,1.8666864456329346,megabyte1,1000000
139,139000000,140000000,139000000,140000000,1000000,1862325.8175668716,1.8623258175668715,megabyte1,1000000
140,140000000,141000000,140000000,141000000,1000000,1863886.2329511642,1.8638862329511643,megabyte1,1000000
141,141000000,142000000,141000000,142000000,1000000,1859370.1906123161,1.8593701906123161,megabyte1,1000000
142,142000000,142189674,142000000,142189674,189674,351612.5679283142,1.8537731472332224,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1721039.8964767456,1.7210398964767457,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1648674.013786316,1.6486740137863158,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1667632.7476882935,1.6676327476882935,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1593936.720981598,1.593936720981598,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1647353.2651672363,1.6473532651672362,geco22,1000000
5,5000000,6000000,5000000,6000000,1000000,1640000.8360366821,1.6400008360366822,geco22,1000000
6,6000000,7000000,6000000,7000000,1000000,1690600.9468021393,1.6906009468021392,geco22,1000000
7,7000000,8000000,7000000,8000000,1000000,1664974.8189182281,1.664974818918228,geco22,1000000
8,8000000,9000000,8000000,9000000,1000000,1680794.7997207642,1.6807947997207642,geco22,1000000
9,9000000,10000000,9000000,10000000,1000000,1686923.938539505,1.686923938539505,geco22,1000000
10,10000000,11000000,10000000,11000000,1000000,1689270.190460205,1.689270190460205,geco22,1000000
11,11000000,12000000,11000000,12000000,1000000,1716947.9033489227,1.7169479033489228,geco22,1000000
12,12000000,13000000,12000000,13000000,1000000,1693257.0690498352,1.6932570690498352,geco22,1000000
13,13000000,14000000,13000000,14000000,1000000,1729097.3610839844,1.7290973610839844,geco22,1000000
14,14000000,15000000,14000000,15000000,1000000,1700672.1568202972,1.7006721568202972,geco22,1000000
15,15000000,16000000,15000000,16000000,1000000,1699924.211971283,1.699924211971283,geco22,1000000
16,16000000,17000000,16000000,17000000,1000000,1746025.3274707794,1.7460253274707793,geco22,1000000
