species,source_name,mode,geco2_level,geco2_binary,geco2_command,geco2_returncode,sample_bytes,sample_bases,sample_symbols_with_eos,uses_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,compression_process_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,split
YeMi,YeMi,geco2_paper_modes,3,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""3"", ""/tmp/geco2_baseline_zitn_3mf/val_6_YeMi.seq""]",0,14737,14737,14737,False,27528.0,1.86795141480627,3441,1.86795141480627,0.058460233005462214,252085.89227865468,252085.89227865468,252085.89227865468,14737,3685,4301,3989,4140,val
BuEb,BuEb,geco2_paper_modes,1,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""1"", ""/tmp/geco2_baseline_51ch0xfi/val_7_BuEb.seq""]",0,3788,3788,3788,False,7808.0,2.061246040126716,976,2.061246040126716,0.03462424999452196,109403.09178102961,109403.09178102961,109403.09178102961,3788,947,1245,1104,1312,val
AgPh,AgPh,geco2_paper_modes,2,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""2"", ""/tmp/geco2_baseline_j456kl42/val_8_AgPh.seq""]",0,8794,8794,8794,False,17560.0,1.996816010916534,2195,1.996816010916534,0.03448306498466991,255023.73422749797,255023.73422749797,255023.73422749797,8794,2199,2737,2486,2688,val
GaGa,GaGa,geco2_paper_modes,11,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""11"", ""/tmp/geco2_baseline__t983ekm/val_9_GaGa.seq""]",0,29706458,29706458,29706458,False,54552880.0,1.8363979980380023,6819110,1.8363979980380023,27.683165279013338,1073087.4775551958,1073087.4775551958,1073087.4775551958,29706458,7426615,8133637,7942810,7347096,val
DrMe,DrMe,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_j8oc8l66/val_10_DrMe.seq""]",0,6436285,6436285,6436285,False,12183832.0,1.892991376236447,1522979,1.892991376236447,8.009468386997469,803584.5438192419,803584.5438192419,803584.5438192419,6436285,1609072,1790325,1738502,1630416,val
EnIn,EnIn,geco2_paper_modes,9,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""9"", ""/tmp/geco2_baseline_we_pat_f/val_11_EnIn.seq""]",0,5280617,5280617,5280617,False,9166312.0,1.7358410958416413,1145789,1.7358410958416413,6.425754181022057,821789.4508936979,821789.4508936979,821789.4508936979,5280617,1320155,1463797,1421072,1276144,val
PlFa,PlFa,geco2_paper_modes,7,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""7"", ""/tmp/geco2_baseline_mh09yk3q/val_12_PlFa.seq""]",0,1797342,1797342,1797342,False,3228792.0,1.796426055809078,403599,1.796426055809078,3.4287919639900792,524191.0325490953,524191.0325490953,524191.0325490953,1797342,449336,480664,473142,441620,val
HePy,HePy,geco2_paper_modes,4,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""4"", ""/tmp/geco2_baseline_7dz8sn9q/val_13_HePy.seq""]",0,333565,333565,333565,False,611024.0,1.8317988997646635,76378,1.8317988997646635,0.45400103999418207,734722.9865470673,734722.9865470673,734722.9865470673,333565,83392,91642,88667,85384,val
AeCa,AeCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_06dko762/val_14_AeCa.seq""]",0,318209,318209,318209,False,610688.0,1.9191411933666238,76336,1.9191411933666238,0.5047164960124064,630470.7742149527,630470.7742149527,630470.7742149527,318209,79553,89697,85774,84468,val
HaHi,HaHi,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_47q293z6/val_15_HaHi.seq""]",0,778001,778001,778001,False,1449984.0,1.86373025227474,181248,1.86373025227474,0.698526533000404,1113774.44269472,1113774.44269472,1113774.44269472,778001,194501,214536,205820,200228,val
AnCa,AnCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_jm8hg8h2/val_16_AnCa.seq""]",0,28437935,28437935,28437935,False,47280712.0,1.6625930117640397,5910089,1.6625930117640397,10.645502664992819,2671356.712306002,2671356.712306002,2671356.712306002,28437935,7109484,7732871,7439500,6216896,val
WaMe,WaMe,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline__uwjgazi/val_17_WaMe.seq""]",0,1828886,1828886,1828886,False,3565048.0,1.9493002844354432,445631,1.9493002844354432,1.1518566309823655,1587772.254642687,1587772.254642687,1587772.254642687,1828886,457222,515438,496039,481160,val
