split,policy,species,source_name,mode,fusion_policy,decodable,sample_bytes,sample_bases,core_base_count,tail_base_count,tail_side_info_bits,sample_symbols_with_eos,uses_eos,unit_size,unit_vocab_size,context_units,theoretical_bits,core_model_theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,emitted_arithmetic_symbol_count,arithmetic_encode_seconds,compression_process_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,fusion_model_choice_counts,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,model_megabyte1_theoretical_bits,model_megabyte1_theoretical_bits_per_core_base,model_megabyte1_model_forward_seconds,model_megabyte1_softmax_seconds,model_megabyte1_aggregate_seconds,model_megabyte1_data_transfer_seconds,model_dnagpt2_theoretical_bits,model_dnagpt2_theoretical_bits_per_core_base,model_dnagpt2_model_forward_seconds,model_dnagpt2_softmax_seconds,model_dnagpt2_aggregate_seconds,model_dnagpt2_data_transfer_seconds
val,oracle_max,YeMi,YeMi,windows_nonoverlap,oracle_max,False,14737,14737,14736,1,11,4912,False,3,125,1,25594.333760532394,25583.333760532394,1.7367397543959011,3202,1.7378706656714393,fusion_oracle_max,3,4912,0.10702796280384064,0.45845596492290497,32144.853873759082,32144.853873759082,10714.224213062673,"{""dnagpt2"": 2730, ""megabyte1"": 2182}",32768,125,0.01,0.003814697265625,14737,3685,4301,3989,4140,27019.621206980675,1.8335790721349536,0.028088673949241638,3.4846365451812744e-05,0.029697120189666748,9.563565254211426e-05,26553.291377541747,1.8019334539591305,0.00435435026884079,2.3894011974334717e-05,0.26189590990543365,3.188103437423706e-05
val,oracle_max,BuEb,BuEb,windows_nonoverlap,oracle_max,False,3788,3788,3786,2,14,1262,False,3,125,1,7237.124249564209,7223.124249564209,1.9105396646156836,906,1.912882787750792,fusion_oracle_max,3,1262,0.024322301149368286,0.1345173865556717,28159.92859355983,28159.92859355983,9381.68687567912,"{""dnagpt2"": 660, ""megabyte1"": 602}",32768,125,0.01,0.003814697265625,3788,947,1245,1104,1312,7484.910844058104,1.976997053369811,0.027708381414413452,3.038346767425537e-05,0.00541088730096817,8.524209260940552e-05,7429.097634299378,1.9622550539618009,0.0042726099491119385,2.672523260116577e-05,0.06344863027334213,3.013014793395996e-05
val,oracle_max,AgPh,AgPh,windows_nonoverlap,oracle_max,False,8794,8794,8790,4,20,2930,False,3,125,1,16361.955459871446,16341.955459871446,1.8605816988709853,2047,1.8617239026609051,fusion_oracle_max,3,2930,0.06659499555826187,0.29295848309993744,30017.905291379077,30017.905291379077,10001.417159852252,"{""dnagpt2"": 1522, ""megabyte1"": 1408}",32768,125,0.01,0.003814697265625,8794,2199,2737,2486,2688,17059.37359659582,1.9407706025706277,0.02768496423959732,3.5434961318969727e-05,0.027032025158405304,4.1581690311431885e-05,16954.03375847565,1.9287865481769795,0.004204131662845612,2.7298927307128906e-05,0.14967937022447586,3.17990779876709e-05
val,oracle_max,GaGa,GaGa,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,107682.36665774029,107682.36665774029,1.7947061109623381,13468,1.7957333333333334,fusion_oracle_max,3,20000,0.3864872604608536,2.3047365993261337,26033.343687752862,26033.343687752862,8677.781229250953,"{""dnagpt2"": 10486, ""megabyte1"": 9514}",32768,125,0.01,0.003814697265625,60000,15000,17534,16325,16420,111051.6495351363,1.850860825585605,0.026778101921081543,3.300607204437256e-05,0.15833764523267746,9.323656558990479e-05,110466.82619538018,1.8411137699230031,0.004556506872177124,3.49581241607666e-05,1.6197023689746857,4.804879426956177e-05
val,oracle_max,DrMe,DrMe,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,109077.2784676541,109077.2784676541,1.8179546411275684,13643,1.8190666666666666,fusion_oracle_max,3,20000,0.40415744483470917,2.0657858923077583,29044.636340783603,29044.636340783603,9681.545446927868,"{""dnagpt2"": 10235, ""megabyte1"": 9765}",32768,125,0.01,0.003814697265625,60000,15000,17705,16452,16524,113803.98833072095,1.8967331388453492,0.030101090669631958,3.3408403396606445e-05,0.1552562192082405,0.00010646134614944458,113302.75262731386,1.888379210455231,0.0044807568192481995,3.0606985092163086e-05,1.3726998791098595,4.073977470397949e-05
val,oracle_max,EnIn,EnIn,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,108999.90299802623,108999.90299802623,1.8166650499671038,13633,1.8177333333333334,fusion_oracle_max,3,20000,0.4164256229996681,1.939570739865303,30934.679909724153,30934.679909724153,10311.55996990805,"{""dnagpt2"": 10002, ""megabyte1"": 9998}",32768,125,0.01,0.003814697265625,60000,15000,17543,16349,16496,112944.83151136572,1.8824138585227619,0.027958743274211884,3.366917371749878e-05,0.15156039595603943,0.00010170042514801025,112863.42110676797,1.8810570184461328,0.00445643812417984,2.5585293769836426e-05,1.2387679293751717,4.2438507080078125e-05
val,oracle_max,PlFa,PlFa,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,105032.3714667023,105032.3714667023,1.7505395244450384,13137,1.7516,fusion_oracle_max,3,20000,0.42815079540014267,2.0731949731707573,28940.838067070763,28940.838067070763,9646.94602235692,"{""dnagpt2"": 10193, ""megabyte1"": 9807}",32768,125,0.01,0.003814697265625,60000,15000,16964,15950,15940,108776.73191625507,1.8129455319375845,0.02790408581495285,2.9981136322021484e-05,0.1701371893286705,0.00011111050844192505,108344.37139778023,1.8057395232963371,0.004913434386253357,3.217160701751709e-05,1.3283335864543915,5.6549906730651855e-05
val,oracle_max,HePy,HePy,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,103309.31848542391,103309.31848542391,1.721821974757065,12922,1.7229333333333334,fusion_oracle_max,3,20000,0.4362863823771477,1.8101756870746613,33145.95396923221,33145.95396923221,11048.651323077402,"{""dnagpt2"": 9870, ""megabyte1"": 10130}",32768,125,0.01,0.003814697265625,60000,15000,17069,16102,15984,108853.25247355227,1.8142208745592046,0.02874114364385605,3.326684236526489e-05,0.15577101707458496,9.816139936447144e-05,108861.63242241391,1.8143605403735652,0.004220597445964813,2.8654932975769043e-05,1.0794984996318817,4.111975431442261e-05
val,oracle_max,AeCa,AeCa,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,108262.4276324582,108262.4276324582,1.8043737938743034,13541,1.8054666666666668,fusion_oracle_max,3,20000,0.4611310586333275,2.5605920180678368,23432.081165852655,23432.081165852655,7810.693721950885,"{""dnagpt2"": 9974, ""megabyte1"": 10026}",32768,125,0.01,0.003814697265625,60000,15000,17702,16309,16648,113469.97453421743,1.891166242236957,0.028636738657951355,3.299117088317871e-05,0.15717115253210068,0.00010894984006881714,113383.16217843644,1.8897193696406074,0.004168368875980377,2.9392540454864502e-05,1.7854772135615349,5.383789539337158e-05
val,oracle_max,HaHi,HaHi,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,102594.44910963517,102594.44910963517,1.7099074851605862,12833,1.7110666666666667,fusion_oracle_max,3,20000,0.40550220012664795,1.9749194085597992,30380.98655567658,30380.98655567658,10126.995518558859,"{""dnagpt2"": 9927, ""megabyte1"": 10073}",32768,125,0.01,0.003814697265625,60000,15000,17253,15947,16216,107103.97327955175,1.7850662213258626,0.03175505995750427,3.2082200050354004e-05,0.1554049849510193,0.00011145323514938354,107114.84877066876,1.785247479511146,0.004783406853675842,2.8781592845916748e-05,1.2708434239029884,4.947930574417114e-05
val,oracle_max,AnCa,AnCa,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,96429.73536350008,96429.73536350008,1.6071622560583345,12062,1.6082666666666667,fusion_oracle_max,3,20000,0.39003966748714447,1.8817193731665611,31885.73219556744,31885.73219556744,10628.57739852248,"{""dnagpt2"": 10742, ""megabyte1"": 9258}",32768,125,0.01,0.003814697265625,60000,15000,17523,16321,16352,104397.82582928988,1.739963763821498,0.03122798353433609,3.6150217056274414e-05,0.1569492071866989,0.00010225921869277954,101503.13893696708,1.6917189822827847,0.004792854189872742,3.170222043991089e-05,1.1934573501348495,4.450976848602295e-05
val,oracle_max,WaMe,WaMe,windows_nonoverlap,oracle_max,False,60000,60000,60000,0,0,20000,False,3,125,1,112033.69423848245,112033.69423848245,1.8672282373080409,14012,1.8682666666666667,fusion_oracle_max,3,20000,0.42558603733778,2.3975068405270576,25025.99741772159,25025.99741772159,8341.999139240532,"{""dnagpt2"": 10465, ""megabyte1"": 9535}",32768,125,0.01,0.003814697265625,60000,15000,17781,16358,16696,116112.96943246174,1.9352161572076958,0.029056571424007416,3.673136234283447e-05,0.16388782858848572,0.0001714080572128296,115443.3674367409,1.9240561239456817,0.004895202815532684,3.273040056228638e-05,1.655481606721878,5.4523348808288574e-05
test,static_context,OrSa,OrSa,windows_nonoverlap,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,110580.68395865214,110580.68395865214,1.843011399310869,13829,1.8438666666666668,fusion_static_context,3,20000,0.3583107069134712,2.101068787276745,28556.894644923887,28556.894644923887,9518.964881641296,"{""dnagpt2"": 19715, ""megabyte1"": 285}",32768,125,0.01,0.003814697265625,60000,15000,17750,16480,16556,112334.79491715413,1.8722465819525687,0.028631508350372314,3.4362077713012695e-05,0.15446016192436218,0.00010655075311660767,110559.26627048421,1.8426544378414034,0.0050263553857803345,3.324449062347412e-05,1.4491568952798843,5.892664194107056e-05
test,static_context,HoSa,HoSa,windows_nonoverlap,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,98952.22626013905,98952.22626013905,1.6492037710023175,12375,1.65,fusion_static_context,3,20000,0.35610510408878326,1.9290795847773552,31102.91585348196,31102.91585348196,10367.63861782732,"{""dnagpt2"": 19694, ""megabyte1"": 306}",32768,125,0.01,0.003814697265625,60000,15000,17321,16193,16188,101975.10186283654,1.6995850310472758,0.026220127940177917,2.9921531677246094e-05,0.1557556390762329,0.00010495632886886597,98907.41025674154,1.648456837612359,0.004448451101779938,3.1247735023498535e-05,1.286160558462143,4.78401780128479e-05
test,static_context,DaRe,DaRe,windows_nonoverlap,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,101828.80451528929,101828.80451528929,1.697146741921488,12734,1.6978666666666666,fusion_static_context,3,20000,0.3658142387866974,1.7448364347219467,34387.17739153669,34387.17739153669,11462.392463845561,"{""dnagpt2"": 19762, ""megabyte1"": 238}",32768,125,0.01,0.003814697265625,60000,15000,17295,16196,16160,98594.68648060125,1.6432447746766874,0.02704264223575592,3.359466791152954e-05,0.1698991134762764,0.0001069679856300354,101867.10233924598,1.697785038987433,0.0048799067735672,3.068894147872925e-05,1.0651363655924797,4.5746564865112305e-05
test,static_context,ScPo,ScPo,windows_nonoverlap,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,114614.98862508684,114614.98862508684,1.910249810418114,14334,1.9112,fusion_static_context,3,20000,0.38039449602365494,1.9495523497462273,30776.2959059859,30776.2959059859,10258.7653019953,"{""dnagpt2"": 19777, ""megabyte1"": 223}",32768,125,0.01,0.003814697265625,60000,15000,15615,16025,14540,116120.00652160733,1.9353334420267887,0.028788797557353973,3.4905970096588135e-05,0.15798283368349075,0.00011193007230758667,114603.02574373808,1.9100504290623013,0.004734978079795837,3.0137598514556885e-05,1.269622080028057,4.232674837112427e-05
test,static_context,EsCo,EsCo,windows_nonoverlap,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,112999.34590110864,112999.34590110864,1.883322431685144,14132,1.8842666666666668,fusion_static_context,3,20000,0.3724187910556793,2.256016470491886,26595.550513386996,26595.550513386996,8865.183504462331,"{""dnagpt2"": 19629, ""megabyte1"": 371}",32768,125,0.01,0.003814697265625,60000,15000,17676,16357,16472,113761.88369752627,1.896031394958771,0.02721228450536728,3.377348184585571e-05,0.1633681282401085,0.00011229515075683594,112981.73977977561,1.8830289963295936,0.005039431154727936,3.4086406230926514e-05,1.5570799335837364,5.2928924560546875e-05
test,static_context,YeMi,YeMi,windows_nonoverlap,static_context,True,14739,14739,14736,3,17,4912,False,3,125,1,26467.632137557823,26450.632137557823,1.7957549452173025,3311,1.7966619173621006,fusion_static_context,3,4912,0.09127320349216461,0.4510486051440239,32677.187850506052,32677.187850506052,10890.17889420488,"{""dnagpt2"": 4894, ""megabyte1"": 18}",32768,125,0.01,0.003814697265625,14739,3685,4285,3974,4104,26994.480027116617,1.8318729660095423,0.027968168258666992,3.318488597869873e-05,0.030611008405685425,8.986145257949829e-05,26446.9907470774,1.794719784682234,0.004978656768798828,3.0279159545898438e-05,0.2651599496603012,3.436952829360962e-05
