species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HaHi,repeat_mobile_existing,812,1,0.0002087400915937126,871.1491317555686,1.0728437583196657,0.0006233997952893013,4.305344127201464
AeCa,intergenic,191785,1553,0.12053997079913943,358942.4020787097,1.8715874655406297,0.0005930320575842023,11.734933417243214
AeCa,cds,1384830,1505,0.8703880270186525,2001911.269187601,1.4456007374100799,0.0004962552883931998,13.954801601298465
AeCa,rna,9554,48,0.006004843345490931,7216.231494483113,0.7553099743021889,0.0009089566155459933,10.95756994551109
AeCa,exon_non_cds,0,0,0.0,0.0,,,
AeCa,intron,0,0,0.0,0.0,,,
AeCa,gene_other,0,0,0.0,0.0,,,
AeCa,repeat_mobile_existing,4880,4,0.0030671588367171595,6507.373378883496,1.3334781514105525,0.001283561396476249,10.045265872521751
YeMi,intergenic,10280,88,0.13950521787512382,15924.08265212727,1.549035277444287,0.0009917347810585865,11.642436988534248
YeMi,cds,63409,87,0.8604947821248762,86596.48997052062,1.3656813696875936,0.0004950509961608901,13.327346984453273
YeMi,rna,0,0,0.0,0.0,,,
YeMi,exon_non_cds,0,0,0.0,0.0,,,
YeMi,intron,0,0,0.0,0.0,,,
YeMi,gene_other,0,0,0.0,0.0,,,
YeMi,repeat_mobile_existing,0,0,0.0,0.0,,,
AgPh,intergenic,4692,44,0.10670911985444621,7217.019311204992,1.5381541583983358,0.0013882237175080205,7.739661589252375
AgPh,cds,39278,43,0.8932908801455538,50883.23787411365,1.2954640733773015,0.0005386642201580074,10.981985283807292
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1286.161820533291,1.8886370345569616,0.9922689772852118,3.6656740599213187
BuEb,cds,14516,7,0.7664202745512143,27808.374085374402,1.9157050210370903,0.06231566290033961,6.223365468947459
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7223.332501056949,1.929824339048076,0.17596385166272105,4.810556963217654
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
