split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
val,WaMe,WaMe,8,60000,1.9254666666666667,14441,0.4151402860879898,144529.45669378588,1.9493002844354432,445631,1.1518566309823655,1587772.254642687,,,,-0.02383361776877657,98.77732446052153,
val,PlFa,PlFa,9,60000,1.8068,13551,0.387331023812294,154906.25927521064,1.796426055809078,403599,3.4287919639900792,524191.0325490953,1.7142874946921633,1925726,7,0.010373944190921858,100.57747682724684,105.39655720491908
val,EsCo,EsCo,10,60000,1.8668,14001,0.39838194102048874,150609.2365690698,1.9254273803496602,223429,0.7748405059974175,1198091.727025812,1.893381063466197,1098552,6,-0.058627380349660196,96.95509781630854,98.59610598314873
val,HaHi,HaHi,11,60000,1.7884,13413,0.429584302008152,139669.90814031518,1.86373025227474,181248,0.698526533000404,1113774.44269472,1.8567194643708684,902831,5,-0.0753302522747401,95.9580925306762,96.32042073765743
val,HePy,HePy,12,60000,1.8161333333333334,13621,0.4249802306294441,141183.03788186374,1.8317988997646635,76378,0.45400103999418207,734722.9865470673,1.801057065339589,375481,4,-0.015665566431330102,99.1447987858633,100.83707886240138
val,AeCa,AeCa,13,60000,1.8933333333333333,14200,0.40163344889879227,149389.94788534014,1.9191411933666238,76336,0.5047164960124064,630470.7742149527,1.9112673462602345,380115,5,-0.025807860033290497,98.65523911828407,99.06166905629436
val,YeMi,YeMi,14,14737,1.8049806609214902,3325,0.09580504894256592,153822.79078876803,1.86795141480627,3441,0.058460233005462214,252085.89227865468,1.8236643189621247,16798,3,-0.06297075388477968,96.6288869514676,98.97548809578795
val,AgPh,AgPh,15,8794,1.928587673413691,2120,0.06458874046802521,136153.76203772682,1.996816010916534,2195,0.03448306498466991,255023.73422749797,1.94823743461451,10708,2,-0.06822833750284296,96.58314350797266,98.99140829286515
val,BuEb,BuEb,16,3788,1.972544878563886,934,0.03447588533163071,109873.9006572983,2.061246040126716,976,0.03462424999452196,109403.09178102961,1.9793030623020063,4686,1,-0.08870116156282992,95.69672131147541,99.65855740503629
test,HoSa,HoSa,0,60000,1.6505333333333334,12379,0.3836093991994858,156409.09770513367,1.7027148023793288,8077367,41.8127558559936,907630.5357796699,1.6377379085796986,38845642,12,-0.05218146904599541,96.9353958177213,100.78128647365385
