split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
val,windows_nonoverlap,GaGa,GaGa,29706458,29706456,1.8852929513868268,1.8862278287251768,model_symbol,3,python,32768,127,0.01,0.003875732421875,9902153,,,,,,,,,,,,,,,,0.0,112.28433772019343,112.28433772019343,47.28738908475498,18.62763825932052,159.5717268049484,187.79833762487397,29706458,7426615,,,,0.9431139143625884,0.23577846271676012
val,windows_nonoverlap,DrMe,DrMe,6436285,6436284,1.9090713778647717,1.909924422228727,model_symbol,3,python,32768,127,0.01,0.003875732421875,2145429,,,,,,,,,,,,,,,,0.0,23.164147790928837,23.164147790928837,9.749386448587757,4.097982607490849,32.91353423951659,39.067918523796834,6436285,1609072,,,,0.9549622111143635,0.23874051568567892
val,windows_nonoverlap,EnIn,EnIn,5280617,5280615,1.8971711480338938,1.8980334676926836,model_symbol,3,python,32768,127,0.01,0.003875732421875,1760206,,,,,,,,,,,,,,,,0.0,18.913382244296372,18.913382244296372,8.307019478350412,3.7533337817294523,27.220401722646784,32.659621515427716,5280617,1320155,,,,0.9490167338463418,0.23725409360307706
val,windows_nonoverlap,PlFa,PlFa,1797342,1797342,1.811732209565776,1.8125966009807817,model_symbol,3,python,32768,127,0.01,0.003875732421875,599115,,,,,,,,,,,,,,,,0.0,6.4202356082969345,6.4202356082969345,2.669718727003783,1.2768867945997044,9.089954335300718,10.95648333686404,1797342,449336,,,,0.9062983004903908,0.2265745751225977
val,windows_nonoverlap,HePy,HePy,333565,333564,1.7896529946979816,1.7905049705603722,model_symbol,3,python,32768,127,0.01,0.003875732421875,111189,,,,,,,,,,,,,,,,0.0,1.1983261741697788,1.1983261741697788,0.4812139631831087,0.22791202517692,1.6795401373528875,2.0403267334913835,333565,83392,,,,0.8952524852801861,0.22381245034700883
val,windows_nonoverlap,AeCa,AeCa,318209,318207,1.8322213547927333,1.8330960663970308,model_symbol,3,python,32768,127,0.01,0.003875732421875,106070,,,,,,,,,,,,,,,,0.0,1.1595578825799748,1.1595578825799748,0.47665016731480137,0.15374723501736298,1.6362080498947762,1.9143366749049164,318209,79553,,,,0.9165480331985154,0.2291355681328938
val,windows_nonoverlap,HaHi,HaHi,778001,777999,1.7582669713387424,1.7591590734692462,model_symbol,3,python,32768,127,0.01,0.003875732421875,259334,,,,,,,,,,,,,,,,0.0,2.813394007505849,2.813394007505849,1.1384031319757923,0.25278619898017496,3.9517971394816414,4.44257456518244,778001,194501,,,,0.8795795367346231,0.21989431890190372
val,windows_nonoverlap,AnCa,AnCa,28437935,28437933,1.8662502785347357,1.867112915696088,model_symbol,3,python,32768,127,0.01,0.003875732421875,9479312,,,,,,,,,,,,,,,,0.0,104.14095401280792,104.14095401280792,43.86360003805021,18.866895699407905,148.00455405085813,176.02613797632512,28437935,7109484,,,,0.933556457848044,0.2333890980480826
val,windows_nonoverlap,WaMe,WaMe,1828886,1828884,1.9333306270050223,1.9341631289901382,model_symbol,3,python,32768,127,0.01,0.003875732421875,609629,,,,,,,,,,,,,,,,0.0,7.083142310380936,7.083142310380936,3.196200721722562,1.2069227651809342,10.279343032103498,12.112455630209297,1828886,457222,,,,0.9670815644950691,0.24177012673288548
test,windows_nonoverlap,OrSa,OrSa,8652506,8652504,1.8988722734374062,1.899748789483368,model_symbol,3,python,32768,127,0.01,0.003875732421875,2884169,,,,,,,,,,,,,,,,0.0,31.336778569035232,31.336778569035232,13.157287530601025,5.437652932596393,44.49406609963626,52.7124242244754,8652506,2163127,,,,0.949874394741684,0.2374685437952889
