species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
OrSa,rna,935741,718,0.02162936729325749,1601494.7909947033,1.7114722888007508,0.00019812980086604428,11.771877554609516
OrSa,exon_non_cds,2980392,9731,0.06889085040185937,5231607.459226737,1.7553420688375008,5.50787524561098e-05,13.435793977901813
OrSa,intron,7783657,18409,0.1799168532080295,13519935.050533177,1.7369643922558737,7.724562768686684e-06,13.817055229780692
OrSa,gene_other,0,0,0.0,0.0,,,
OrSa,repeat_mobile_existing,0,0,0.0,0.0,,,
DrMe,intergenic,11411662,2960,0.3546039549704272,20250048.839208964,1.7745047863500483,0.0001296807742484965,14.92658534199822
DrMe,cds,5628389,14979,0.17489555855335076,6035057.444881979,1.072253080745126,3.120236538047644e-06,15.991888910198321
DrMe,rna,439099,259,0.013644484214793568,773613.4890943492,1.7618202024927163,0.0003361501897716393,11.17303053947095
DrMe,exon_non_cds,1920823,7919,0.05968731220729819,3479560.5040114596,1.811494606224238,0.00025251851271528426,12.597406613474922
DrMe,intron,12781456,13027,0.3971686900541303,22939627.733826593,1.7947585731881088,5.1447932669706525e-05,14.176019543186035
DrMe,gene_other,0,0,0.0,0.0,,,
DrMe,repeat_mobile_existing,0,0,0.0,0.0,,,
EsCo,intergenic,495049,3750,0.10665362246027923,704847.8870819607,1.4237941841756285,0.0004332761618890543,12.534184957697715
EsCo,cds,3961156,3509,0.8533935762525928,2780322.001846336,0.7018966185240713,1.9754914347242798e-05,14.371235755992661
EsCo,rna,49790,219,0.010726784343160581,12955.416518479553,0.2602011753058757,0.00022102913206717133,13.233425074756061
EsCo,exon_non_cds,0,0,0.0,0.0,,,
EsCo,intron,84083,130,0.018114886682586286,100920.4658157573,1.2002481573654282,0.00026637135202311395,13.774277706482788
EsCo,gene_other,0,0,0.0,0.0,,,
EsCo,repeat_mobile_existing,51574,44,0.011111130261381077,12616.97011161904,0.24463819194980108,0.0005291691180880941,14.341372992826551
HaHi,intergenic,489616,3294,0.12586513384944234,907840.9663006049,1.8541897452301495,0.0005796977624986046,11.918922196073547
HaHi,cds,3381272,3236,0.8692204765803643,3739165.974071518,1.1058459579919977,5.32340680742039e-05,14.267146227539259
HaHi,rna,18301,60,0.0047046212022863725,6929.947949187432,0.37866498820760786,0.0005229435637271429,11.761909795648458
HaHi,exon_non_cds,0,0,0.0,0.0,,,
HaHi,intron,4,2,1.0282763132695203e-06,0.23753880889149206,0.059384702222873016,0.02562544706177179,0.10769038233273588
HaHi,gene_other,0,0,0.0,0.0,,,
HaHi,repeat_mobile_existing,812,1,0.0002087400915937126,879.570753930894,1.0832152142006084,0.00043001376557335214,3.4985059677895545
AeCa,intergenic,191785,1553,0.12053997079913943,359334.3079991159,1.873630930464405,0.0004928464487366581,10.96371747867086
AeCa,cds,1384830,1505,0.8703880270186525,2009223.6849636298,1.4508811081241957,0.00014200375221815623,13.553338137354224
AeCa,rna,9554,48,0.006004843345490931,7285.003537876843,0.7625082204183424,0.0009093028703791489,10.95754240283421
AeCa,exon_non_cds,0,0,0.0,0.0,,,
AeCa,intron,0,0,0.0,0.0,,,
AeCa,gene_other,0,0,0.0,0.0,,,
AeCa,repeat_mobile_existing,4880,4,0.0030671588367171595,6526.20352403239,1.3373367877115554,0.0013286004230687602,9.863294756230038
YeMi,intergenic,10280,88,0.13950521787512382,15940.063449588883,1.550589829726545,0.001017943325224745,7.638619314539315
YeMi,cds,63409,87,0.8604947821248762,86912.71969363336,1.3706685122558842,0.0004950562732402463,13.162242061503534
YeMi,rna,0,0,0.0,0.0,,,
YeMi,exon_non_cds,0,0,0.0,0.0,,,
YeMi,intron,0,0,0.0,0.0,,,
YeMi,gene_other,0,0,0.0,0.0,,,
YeMi,repeat_mobile_existing,0,0,0.0,0.0,,,
AgPh,intergenic,4692,44,0.10670911985444621,7236.069764138442,1.5422143572332572,0.0014858590107757854,7.73706529031355
AgPh,cds,39278,43,0.8932908801455538,51006.51422939013,1.2986026332651899,0.0005422293493780795,10.981727446204879
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1284.949495945949,1.8868568222407474,1.0816020906461623,3.451501113417085
BuEb,cds,14516,7,0.7664202745512143,27825.431454437858,1.9168800946843385,0.09738372245270871,4.704236796185021
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7216.458010881341,1.9279877132998506,0.18667428550212942,4.399272704800533
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
